ServiceID,Country,Name,Address,Extended,Local,Phone,Google Review Rating
50,US,Council Bluffs-Woodbury Ave,1110 Woodbury ave,,Council Bluffs IA 51503,(877) 798-3752,3
51,US,New Orleans (coming soon),,,New Orleans LA 70130,(877) 798-3752,5
52,US,Baltimore-Owings Mills,9428 Reisterstown Road,,Owings Mills MD 21117,(410) 415-1411,2
53,US,Rockville,52 Derwood Circle,,Rockville MD 20850,(301) 738-6523,5
54,US,Boston-Watertown,457 Pleasant Street,,Watertown MA 02472,(617) 744-1835,5
55,US,Dedham,840 Providence Highway,,Dedham MA 02026,(781) 471-3001,5
56,US,Minneapolis-Eden Prairie,6801 Washington Ave S,Suite 110,Minneapolis MN 55439,(952) 944-1373,3
57,US,Pearl,322 Airport Rd S,,Pearl MS 39208,(877) 798-3752,3
58,US,Kansas City-Manchester,3555 Manchester Trafficway,,Kansas City MO 64129,(816) 861-0805,5
59,US,St. Louis-Chesterfield,16955 Chesterfield Airport Road,,Chesterfield MO 63005-1405,(314) 872-9946,5
60,US,Las Vegas-W. Sahara Ave,7077 W Sahara Ave,,Las Vegas NV 89117,(702) 914-6500,5
61,US,Reno-Virginia Street,9732 S Virginia Street,,Reno NV 89511-5941,(775) 453-7957,4
62,US,Cherry Hill,1605 Route 70 West,,Cherry Hill NJ 08002,(856) 356-1088,2
63,US,Paramus-Route 17,530 Route 17 N,,Paramus NJ 07652,(201) 225-2544,5
64,US,Springfield,135 US 22,,Springfield NJ 07081,(973) 921-0925,3
65,US,Brooklyn-Van Brunt Street,160 Van Brunt Street,,Brooklyn NY 11231,(718) 510-8046,3
66,US,Latham - 326 Old Niskayuna Road,326 Old Niskayuna Road,,Latham NY 12110,(877) 798-3752,5
67,US,Long Island-Syosset,7 Aerial Way,,Syosset NY 11791,(516) 864-0535,3
68,US,Westchester-Mt. Kisco,115 Kisco Avenue,,Mt. Kisco NY 10549,(914) 218-8900,4
69,US,Charlotte-Matthews,9140 East Independence Blvd,,Matthews NC 28105,(704) 845-0689,4
70,US,Raleigh,8831 Westgate Park Drive,Suite 102,Raleigh NC 27617,(919) 784-0493,4
71,US,Raleigh Service,8800 Westgate Park Drive,Suite 108,Raleigh NC 27617,(919) 420-0280,5
72,US,Cincinnati,9111 Blue Ash Road,,Cincinnati OH 45242,(513) 745-9111,3
73,US,Cleveland-Lyndhurst,5180 Mayfield Road,,Lyndhurst OH 44124,(440) 461-1016,3
74,US,Columbus,4099 Easton Loop West,,Columbus OH 43219-6087,614-934-6869,2
75,US,Toledo,6142 Telegraph Rd,,Toledo OH 43612,(877) 798-3752,5
76,US,Portland-SW Macadam Avenue,4330 SW Macadam Ave,,Portland OR 97239,(503) 382-1685,2
77,US,Devon,470 W Lancaster Ave,,Devon PA 19333,(610) 407-7030,3
78,US,Lancaster,1170 Garfield Avenue Gateway Business Center #2,,Lancaster PA 17601,(877) 798-3752,2
79,US,Pittsburgh-Wexford,14010 Perry Highway,,Wexford PA 15090,(878) 332-6091,3
80,US,Memphis,5851 Advantage Cove,,Memphis TN 9086,(877) 798-3752,2
81,US,Nashville-Brentwood,1641 Westgate Circle,,Nashville TN 37027,(615) 661-8025,3
82,US,Austin-Pond Springs,12845 Research Boulevard,,Austin TX 78759,(737) 207-8000,4
83,US,Dallas-Cedar Springs Road,6500 Cedar Springs Road Suite 100,,Dallas TX 75235,(214) 736-0587,5
84,US,El Paso-Walter Jones,28 Walter Jones Suite C,,El Paso TX 79906,(510) 249-4092,2
85,US,Houston-North,14820 North Fwy,,Houston TX 77090,(281) 982-7130,5
86,US,Houston-Westchase,3750 Westchase Drive,,Houston TX 77042,(713) 821-2700,4
87,US,Plano-5800 Democracy Drive,5800 Democracy Drive,,Plano TX 75024,(469) 366-3436,5
88,US,San Antonio-Dominion,23011 IH-10 West,,San Antonio TX 78257,(210) 974-6035,5
89,US,Tyler-South Southwest Loop,3408 S SW Loop 323,,Tyler TX 75701,(510) 249-4092,3
90,US,Salt Lake City-1038 South 300 West,1038 South 300 West,,Salt Lake City UT 84101,(801) 401-4135,3
91,US,Richmond-Glen Allen,9850 W. Broad Street,,Glen Allen VA 23060,(804) 219-4999,3
92,US,Tysons Corner-Tyco Road,8500 Tyco Road,,Vienna VA 22182,(703) 761-4679,2
93,US,Bellevue-20th Street,14408 NE 20th Street,,Bellevue WA 98007,(425) 519-8070,5
94,US,Seattle-SoDo,1039 6th Ave S,,Seattle WA 98134,(206) 467-1450,5
95,US,Spokane-Springfield Ave,3304 E Springfield Ave,,Spokane WA 99202,(877) 798-3752,4
96,Mexico,Guadalajara-Av Patria,Av. Patria 120 T Col. Vallarta la Patria Zapopan Jalisco 45020,,Jalisco,01 800 228 8145,5
97,Mexico,Monterrey,Av. Ricardo Margain Zozaya 100D Valle del Campestre. San Pedro Garza Garcia Nuevo Leon 66265,,Nuevo Leon  66265,01 800 228 8145,3
98,Canada,Calgary-Fairmount,6702 Fairmount Drive SE,,Calgary AB T2H 0X3,(403) 910-0521,5
99,Canada,Vancouver - West 4th Avenue,1636 West 4th Avenue,,Vancouver BC V6J 1L9,(604) 255 4427,5
100,Canada,Kitchener Waterloo,663 Victoria St N,,Kitchener ON N2H 5G3,(877) 798-3752,5
101,Canada,Toronto-Lawrence Avenue,1325 Lawrence Ave East,,Toronto ON M3A 1C6,(647) 260-1794,4
102,Canada,Toronto-Mississauga,420 Ambassador Dr,Unit #2,Mississauga ON L5S 1N4,(905) 678-1000,3
103,Canada,Toronto-Oakville,225 Wyecroft Road,,Oakville ON L6K 3S3,(289) 328-1402,4
104,Canada,MontrÃ©al-Ferrier,5350 Ferrier Street,,MontrÃ©al QC H4P 1L9,(514) 908-3827,5
105,Canada,Quebec City-2180 Rue Cyrille-Duquet,2180 Rue Cyrille-Duquet,,Quebec City QC G1N 2E5,(581) 318-8862,4
106,Austria,Graz-MaggstraÃŸe,MaggstraÃŸe 19,,8042 Graz,+43 316 231213,3
107,Austria,Linz-BÃ_ckerfeldstraÃŸe,BÃ_ckerfeldstraÃŸe 9,,4050 Traun,072 292 4650,5
108,Austria,Salzburg-Wals,HÃ¶lzlstraÃŸe 4,,5071 Wals,+43 662 234 908,5
109,Austria,Wien-Tech Park Vienna,Gutheil-Schoder-Gasse 17,,1230 Vienna,+43 16 650 027,5
110,Belgium,Antwerp-Aartselaar,Boomsesteenweg 8,,2630 Aartselaar,03 877 19 64,3
111,Belgium,Brussels-Leuvensesteenweg,Leuvensesteenweg 373,(Sint-Stevens-Woluwe),1932 Zaventem,+32 (0) 2 725 71 78,5
112,Belgium,Ghent-Latem,Kortrijksesteenweg 164,,9830 Sint-Martens-Latem,0929 64000,5
113,Belgium,Hasselt-Herkenrode,77 Herkenrodesingel,,3500 Hasselt,3211494248,4
114,Denmark,Aarhus-Viborgvej,Bredskiftevej 20D-F,,8210 Aarhus,8988 7004,5
115,Denmark,KÃ¸benhavn-Kastrup,KirstinehÃ¸j 43,,2770 Kastrup,3373 1120,5
116,Finland,Helsinki-Vantaa,1 Vetokuja,,1610 Vantaa,+358 9 4245 1773,5
117,France,Aix-en-Provence Les Milles-Avenue Guilibert,1030 Rue Jean RenÃ© Guillibert Gauthier de la LauziÃ¨re,,13100 Aix-en-Provence,+33 442290414,2
118,France,Bordeaux-MÃ©rignac,21 Rue de ThaleÌÅs,,33700 Bordeaux,+33 (0)533 520 050,3
119,France,Lyon-Chemin des Gorges,3 Chemin des Gorges,,Dardilly,33426836372,5
120,France,Nantes Avenue des Lions,19 Avenue des Lions,,Saint-Herblain,027 2248 103,4
121,France,Paris Chambourcy,103 Route de Mantes,,78240 Chambourcy,+33 185640123,3
122,Germany,Berlin-SchÃ¶nefeld,Alexander-MeiÃŸner Strasse 24-26,,12526 Berlin,+49 (0) 30 30808109,5
123,Germany,DÃ_sseldorf-Bonner StraÃŸe,Bonner Strasse 343-345,,40589 DÃ_sseldorf,+49 (0) 211 38789576,4
124,Germany,Frankfurt-Hanauer LandstraÃŸe,Hanauer LandstraÃŸe 551-555,,60386 Frankfurt,0800 589 3542,2
125,Germany,Hamburg-Essener StraÃŸe,Essener StraÃŸe 4,,22419 Hamburg,0408 740 8112,5
126,Germany,MÃ_nchen-Feldkirchen,Hohenlindner Str. 48A,,85622 Feldkirchen,+49 89 21093977,5
127,Germany,NÃ_rnberg-Thumenberger Weg,10 Thumenberger Weg,,Nuremberg,+49 (0) 911 95153997,5
128,Germany,Stuttgart-MotorstraÃŸe,MotorstraÃŸe 38,,70499 Stuttgart,+49 (0) 711 89989083,3
129,Ireland,Dublin Sandyford,92 Bracken Road,Sandyford,Dublin 18 Dublin,19038770,4
130,Italy,Milano Linate,Via Liguria 19/23,,20068 Peschiera Borromeo,3.90E+11,3
131,Italy,Padua Corso Stati Uniti,Via Portogallo 11,,35127 Padua,3.90E+11,5
132,Luxembourg,Luxembourg Route de Thionville,194 Route de Thionville,,2610 Luxembourg,+352 2786 0572,3
133,The                                                 Netherlands,Amsterdam-Zuid-Oost,Burgemeester Stramanweg 122,,1101 EN Amsterdam,020 365 00 08,4
134,The                                                 Netherlands,Arnhem-Duiven,Geograaf 32,,6921 EW Duiven,026 311 1016,5
135,The                                                 Netherlands,Den Haag-Forepark,Neckar 16,,2491 BD The Hague,070 301 0022,5
136,The                                                 Netherlands,Eindhoven Boschdijk,1111 Boschdijk,,5626 AG Eindhoven,04 99 462 998,4
137,The                                                 Netherlands,Groningen-Rostockweg,Rostockweg 9,,9723 HG Groningen,+31 50 799 9800,3
138,The                                                 Netherlands,Rotterdam-Driemanssteeweg,Driemanssteeweg 70,,3084 CB Rotterdam,010 8080552,5
139,The                                                 Netherlands,Tilburg,Atlasstraat 7-9,,5047 RG Tilburg,0137 999 400,5
140,Norway,Bergen-Kokstad,Kokstaddalen 18,,5257 Bergen,56 99 9009,3
141,Norway,Bergen-Minde,Minde AllÃ© 35,Suite M,5068 Bergen,55 59 08 00,4
142,Norway,Brumunddal-Strandvegen,26 Strandvegen,,2380 Brumunddal,62 79 01 16,4
143,Norway,Drammen,BjÃ¸rnstjerne BjÃ¸rnsons Gate 122,,3041 Drammen,32 99 30 07,3
144,Norway,Kristiansand-SÃ¸rlandsparken,SÃ¸rlandsparken,102 Barstolveien,4636 Kristiansand,+47 38994008,5
145,Norway,Oslo-Baerum,7-11 Baker Ã˜stbysvei,,1351 Rud,+47 21939594,4
146,Norway,Oslo-North,15 Bekkenstenveien,,976 Oslo,21 51 40 10,5
147,Norway,Oslo-SkÃ¸yen,Drammensveien 130,,0277 Oslo,2151 4000,5
148,Norway,Skodje-Alesund,108 Digerneset N_ringspark,,6260 Skodje,+47 71 49 30 00,3
149,Norway,Stavanger-Forus,Vestre Svanholmen 13,,4313 Sandnes,51 63 77 10,5
150,Norway,TromsÃ¸-Alkeveien,Alkeveien 1,,9015 TromsÃ¸,+47 77 29 01 72,4
151,Norway,Trondheim Service,Haakon Viis Gate 6,,7041 Trondheim,7340 1532,4
152,Norway,Trondheim-Lade Arena,Haakon Viis gate 12,Lade Arena,7041 Trondheim,7351 3999,3
153,Portugal,Lisbon,Rua Dona Carlota Joaquina Lote 173,,2605-239 Belas,+35121 0200 120,5
154,Spain,Barcelona MetalÂ·lÃºrgia,Carrer de la MetalÂ·lÃºrgia 38-42,,08038 Barcelona,34935222577,4
155,Sweden,Gothenburg-Aminogatan,Aminogatan 32B,,431 53 Gothenburg,+46 (0)77-588 80 36,5
156,Sweden,MalmÃ¶ Boplatsgatan,Boplatsgatan 2,,213 76 MalmÃ¶,+46 (0)40-645 05 43,3
157,Sweden,Stockholm-KanalvÃ_gen,KanalvÃ_gen 16,,194 61 Stockholm,+46 (0)77-588 80 36,3
158,Switzerland,Basel-MÃ¶hlin,Gewerbepark Bata Halle 7,,4313 MÃ¶hlin,061 855 30 20,3
159,Switzerland,Bern-Zentweg,Zentweg 1A,,3006 Bern,+41 31 528 09 26,5
160,Switzerland,Cham-Lorzenpark,Lorzenparkstrasse 12,,6330 Cham,+41 41 588 06 87,5
161,Switzerland,Geneva-Meyrin,Rue du Pr_-de-la-Fontaine 10,Meyrin - Satigny,1217 Geneva,022 518 04 63,3
162,Switzerland,Winterthur,Schlachthofstrasse 19,,8406 Winterthur,052 305 1580,4
163,Switzerland,ZÃ_rich Schlieren,Brandstrasse 51-55,,8952 Schlieren,41435088828,4
164,United Kingdom,Birmingham-Digbeth,149-159 High Street,Digbeth,B12 0JU Birmingham,0121 368 0645,5
165,United Kingdom,Bristol Lysander Road,Lysander Road,Westbury-on-Trym,BS10 7DD Bristol,0117 313 6332,4
166,United Kingdom,Edinburgh Newbridge,23 Cliftonhall Road,,EH28 8PW Edinburgh,0131 4607796,4
167,United Kingdom,Leeds-Whitehouse Street,7 Whitehouse Street,,LS10 1AD Leeds,4.41E+11,3
168,United Kingdom,London Park Royal,152 Dukes Road,,W3 0SL London,+44 203 744 8177,4
169,United Kingdom,London-Brooklands,Southey House 43 Avro Way,,KT13 0XQ Weybridge,4.42E+11,4
170,United Kingdom,London-Heathrow,Horton Road,West Drayton,UB7 8JD London,01895 714 009,4
171,United Kingdom,Manchester-South,396 Wellington Road North,,SK4 5AD Stockport,0161 2505100,4
172,United Kingdom,Milton Keynes Northfield Drive,Northfield Drive,,MK15 0DQ Milton Keynes,+44 (0)1908 592502,5
173,Australia,Adelaide  (coming soon),,,Adelaide SA 5000,1800 646 952,3
174,Australia,Brisbane-Fortitude Valley,1062 Ann Street,,Fortitude Valley,1800 686 705,3
175,Australia,Canberra (coming soon),,,Canberra ACT 2600,1800 646 952,5
176,Australia,Melbourne-Richmond,650 Church Street,Building 4,Cremorne 3121,1 800 686 705,5
177,Australia,Perth (coming soon),,,Perth WA 6000,1800 646 952,2
178,Australia,Sydney - Alexandria,1/118 Bourke Road,,Alexandria 2015,1800 646 952,5
179,Australia,Sydney-Lower North Shore,10 Herbert St,,St Leonards NSW 2065,1800 686 705,5
180,Hong Kong S.A.R. China,Sai Wan Service,Unit A&B HK Industrial Building,444-452 Des Voeux Road West Hong Kong SAR,Hong Kong,+852 39740278,4
181,Japan,æù±äº¬,æù±äº¬éƒ_æ±Ÿæù±åŒºæù±é›_2ä¸Åç›®7-20,,,0120-975-214,4
182,Japan,æ¨ªæµœ,ç¥_å¥ˆå·ùçœŒæ¨ªæµœå¸‚æˆ¸å¡_åŒºä¸_çŸ¢éƒ¨ç”º995-1,,,0120-982-428,4
183,New Zealand,Auckland - Ponsonby,501 Karangahape Road,Auckland 1010,,0800 004 029,3
184,New Zealand,Christchurch (coming soon),,,,0800 005 431,4
185,South Korea,ì„œì_¸ - ê°•ì„œì„œë_„ì__ì„_í„°,ì„œì_¸í__ë_„ì‹œ ê°•ì„œêµ¬ ì–‘ì_œë¡œ 66ê¸¸5,,,02 6177 1393,5
186,Taiwan,åè°åŒ— Tesla å…§æ_–ç‡ŸéÅ‹ç¸_éƒ¨,åè°åŒ—å¸‚å…§æ_–åç€æ°‘æ¬_æù±è·¯å…_æ®µ11å··6è™Ÿ (è¥¿åÅ´å» åç€),,,+886 2 6610 3800,5
187,Jordan,Amman Al-Ummal Street,61 Al-Ummal Street,,Amman AJ 11118,+962 (06) 580 3130,4
188,United Arab Emirates,Dubai Sheikh Zayed Road,146 Sheikh Zayed Road,,Dubai AZ,+971 (0) 4 521 7777,3
