CustomerID,Model,Subtype,Date,Vin
51,Model X,Standard,5/25/16,5214386
52,Model X,Long Range,11/25/14,6333261
53,Model 3,Standard,6/16/15,2350727
54,Model 3,Long Range,12/20/17,5730889
55,Model S,Standard,7/8/17,7882043
56,Model S,Long Range,1/4/16,3891840
57,Model X,Standard,11/3/13,6684243
58,Model X,Long Range,9/4/16,3543481
59,Model 3,Standard,4/23/14,4383359
60,Model 3,Long Range,9/20/14,9334114
61,Model S,Standard,2/22/15,94645
62,Model S,Long Range,9/11/12,5881039
63,Model X,Standard,10/12/15,2390348
64,Model X,Long Range,4/28/16,8787887
65,Model 3,Standard,9/29/12,8649255
66,Model 3,Long Range,12/7/14,200792
67,Model S,Standard,12/27/16,3188142
68,Model S,Long Range,10/5/15,7635238
69,Model X,Standard,8/9/15,7718315
70,Model X,Long Range,5/5/16,377170
71,Model 3,Standard,1/16/15,1152827
72,Model 3,Long Range,12/8/16,2801079
73,Model S,Standard,6/19/13,5098511
74,Model S,Long Range,5/6/15,2152052
75,Model X,Standard,7/8/12,2339822
76,Model X,Long Range,2/12/17,7525520
77,Model 3,Standard,9/11/13,9431126
78,Model 3,Long Range,11/22/13,7879272
79,Model S,Standard,2/10/12,3444585
80,Model S,Long Range,4/24/15,3788904
81,Model X,Standard,6/25/13,8201552
82,Model X,Long Range,8/28/18,4743029
83,Model 3,Standard,9/15/12,6665750
84,Model 3,Long Range,8/16/14,7144941
85,Model S,Standard,3/2/17,177364
86,Model S,Long Range,10/3/18,9311690
87,Model X,Standard,9/10/17,3630549
88,Model X,Long Range,7/30/17,2944925
89,Model 3,Standard,6/1/15,2429392
90,Model 3,Long Range,5/1/16,9828766
91,Model S,Standard,1/27/18,961701
92,Model S,Long Range,11/27/12,4207321
93,Model X,Standard,9/3/13,3257966
94,Model X,Long Range,8/21/18,6019322
95,Model 3,Standard,10/30/15,3196224
96,Model 3,Long Range,5/19/15,8854438
97,Model S,Standard,6/13/12,9784402
98,Model S,Long Range,6/3/16,1062463
99,Model X,Standard,3/23/18,8114310
100,Model X,Long Range,2/17/17,6512479
101,Model 3,Standard,5/25/12,932828
102,Model 3,Long Range,9/25/17,8591479
103,Model S,Standard,10/1/13,5601597
104,Model S,Long Range,4/13/17,7642163
105,Model X,Standard,2/4/19,8868847
106,Model X,Long Range,3/9/16,8151013
107,Model 3,Standard,11/16/18,5016961
108,Model 3,Long Range,3/5/15,3199172
109,Model S,Standard,3/16/15,2237503
110,Model S,Long Range,12/8/18,4741021
111,Model X,Standard,9/29/15,1352142
112,Model X,Long Range,4/11/17,9549775
113,Model 3,Standard,7/17/15,7480560
114,Model 3,Long Range,1/27/18,4956476
115,Model S,Standard,4/25/16,2376465
116,Model S,Long Range,3/22/16,1531351
117,Model X,Standard,9/14/17,1030674
118,Model X,Long Range,7/5/18,8795051
119,Model 3,Standard,4/18/14,9326688
120,Model 3,Long Range,6/16/14,25383
121,Model S,Standard,11/15/18,5627835
122,Model S,Long Range,5/9/18,6534396
123,Model X,Standard,9/8/17,4562175
124,Model X,Long Range,10/30/17,6173033
125,Model 3,Standard,3/3/14,6211637
126,Model 3,Long Range,11/15/14,1862885
127,Model S,Standard,3/6/16,8019207
128,Model S,Long Range,9/1/18,817123
129,Model X,Standard,9/8/16,442153
130,Model X,Long Range,8/10/12,9081993
131,Model 3,Standard,6/27/16,2418982
132,Model 3,Long Range,9/29/15,3658526
133,Model S,Standard,6/17/17,7306865
134,Model S,Long Range,12/26/16,4215737
135,Model X,Standard,2/27/14,2679342
136,Model X,Long Range,5/29/15,1716843
137,Model 3,Standard,9/29/16,1736961
138,Model 3,Long Range,5/17/16,3616089
139,Model S,Standard,11/21/13,6957025
140,Model S,Long Range,4/24/15,9086842
141,Model X,Standard,4/4/17,6837404
142,Model X,Long Range,11/3/18,8036258
143,Model 3,Standard,12/18/14,953652
144,Model 3,Long Range,4/18/13,3657451
145,Model S,Standard,12/27/13,4103301
146,Model S,Long Range,11/6/17,2971822
147,Model X,Standard,2/11/17,7121722
148,Model X,Long Range,8/22/17,9443967
149,Model 3,Standard,11/17/17,1450572
150,Model 3,Long Range,11/21/16,4300814
151,Model S,Standard,9/16/12,2155030
152,Model S,Long Range,10/20/17,9855676
153,Model X,Standard,5/10/16,2752454
154,Model X,Long Range,12/5/17,9916054
155,Model 3,Standard,9/27/16,1474017
156,Model 3,Long Range,7/16/18,2487220
157,Model S,Standard,7/25/12,6105789
158,Model S,Long Range,11/2/13,8387658
159,Model X,Standard,6/11/16,2229947
160,Model X,Long Range,10/7/14,1765167
161,Model 3,Standard,4/11/14,9484850
162,Model 3,Long Range,11/11/12,5430425
163,Model S,Standard,2/11/14,7361146
164,Model S,Long Range,4/26/17,3132013
165,Model X,Standard,11/28/16,7771532
166,Model X,Long Range,2/1/14,6593223
167,Model 3,Standard,7/28/16,7211607
168,Model 3,Long Range,6/10/18,6804485
169,Model S,Standard,8/20/16,9117630
170,Model S,Long Range,12/11/12,3837142
171,Model X,Standard,12/6/12,3259682
172,Model X,Long Range,8/19/16,8475876
173,Model 3,Standard,9/8/13,8814594
174,Model 3,Long Range,6/29/13,4714786
175,Model S,Standard,9/6/18,3184312
176,Model S,Long Range,3/14/16,5523287
177,Model X,Standard,8/24/17,5478839
178,Model X,Long Range,7/8/16,9746147
179,Model 3,Standard,11/2/13,8471589
180,Model 3,Long Range,7/4/12,6856778
181,Model S,Standard,4/12/17,3483207
182,Model S,Long Range,10/23/16,8415354
183,Model X,Standard,2/2/14,2647893
184,Model X,Long Range,12/9/12,8890930
185,Model 3,Standard,7/12/16,702990
186,Model 3,Long Range,11/11/13,2999790
187,Model S,Standard,8/7/13,9044180
188,Model S,Long Range,12/29/12,8385593
189,Model X,Standard,4/10/14,6402993
190,Model X,Long Range,4/25/16,3394120
191,Model 3,Standard,1/2/15,6810500
192,Model 3,Long Range,8/27/15,9374450
193,Model S,Standard,5/21/14,681615
194,Model S,Long Range,5/23/16,7284090
195,Model X,Standard,3/6/13,6895014
196,Model X,Long Range,12/18/11,5582515
197,Model 3,Standard,11/13/13,9734779
198,Model 3,Long Range,11/24/13,7183175
199,Model S,Standard,7/7/19,1741382
200,Model S,Long Range,10/7/15,7563233
92,Model X,Standard,6/7/16,6660901
103,Model X,Long Range,10/4/16,4568068
74,Model 3,Standard,7/9/14,9384510
37,Model 3,Long Range,3/12/18,9674566
114,Model S,Standard,7/5/15,8973764
53,Model S,Long Range,7/30/16,9003037
45,Model X,Standard,1/8/19,1463429
107,Model X,Long Range,6/26/16,727651
130,Model 3,Standard,9/15/16,3739843
131,Model 3,Long Range,11/21/13,56339
110,Model S,Standard,2/24/17,4542064
49,Model S,Long Range,6/22/17,1750500
99,Model X,Standard,3/4/17,9765627
91,Model X,Long Range,8/16/16,4556500
42,Model 3,Standard,7/25/14,3750439
76,Model 3,Long Range,6/30/16,5112745
59,Model S,Standard,3/21/18,2163542
14,Model S,Long Range,4/13/15,298704
38,Model X,Standard,2/6/15,3630731
19,Model X,Long Range,12/22/12,3418388
116,Model 3,Standard,12/8/16,396858
107,Model 3,Long Range,1/15/18,820429
127,Model S,Standard,7/29/15,8796788
67,Model S,Long Range,7/22/15,8316391
29,Model X,Standard,8/21/14,924851
61,Model X,Long Range,7/20/15,7279053
5,Model 3,Standard,6/12/17,9481656
52,Model 3,Long Range,2/24/18,4352126
144,Model S,Standard,1/12/16,4896288
80,Model S,Long Range,12/9/12,862926
59,Model X,Standard,3/5/15,3205034
19,Model X,Long Range,9/8/17,6677998
80,Model 3,Standard,7/6/14,8952514
148,Model 3,Long Range,3/17/15,7804238
61,Model S,Standard,3/13/14,9571735
31,Model S,Long Range,9/5/17,3667774
56,Model X,Standard,12/12/15,9512775
55,Model X,Long Range,1/22/18,5507053
75,Model 3,Standard,6/19/15,8648879
22,Model 3,Long Range,6/28/15,3608640
105,Model S,Standard,7/5/14,9611363
111,Model S,Long Range,3/7/18,6782398
112,Model X,Standard,2/16/16,7175234
24,Model X,Long Range,12/12/13,9403552
36,Model 3,Standard,7/1/13,4429044
125,Model 3,Long Range,1/16/15,2527594
61,Model S,Standard,9/10/17,2946009
149,Model S,Long Range,5/21/19,3913554
76,Model X,Standard,8/16/14,1553012
128,Model X,Long Range,1/6/16,9129467
109,Model 3,Standard,6/2/19,559238
14,Model 3,Long Range,2/9/16,6448109
20,Model S,Standard,4/1/13,1588018
14,Model S,Long Range,8/1/17,5734780
96,Model X,Standard,6/13/16,5835146
1,Model X,Long Range,11/8/13,4944218
146,Model 3,Standard,12/29/12,5095962
34,Model 3,Long Range,8/24/16,8646069
12,Model S,Standard,8/5/15,7244612
105,Model S,Long Range,9/11/16,5026337
90,Model X,Standard,11/29/14,9219274
45,Model X,Long Range,7/9/15,1342634
76,Model 3,Standard,2/13/18,914160
121,Model 3,Long Range,1/12/16,9873583
45,Model S,Standard,4/17/13,6095812
154,Model S,Long Range,4/13/13,7714071
111,Model X,Standard,8/25/16,6953602
51,Model X,Long Range,7/23/14,4226772
130,Model 3,Standard,7/2/13,1583392
111,Model 3,Long Range,10/30/16,898894
32,Model S,Standard,10/21/14,345091
42,Model S,Long Range,6/20/12,587401
29,Model X,Standard,8/17/13,8330369
12,Model X,Long Range,11/16/16,7695814
55,Model 3,Standard,9/29/14,2116287
15,Model 3,Long Range,6/16/17,4584590
130,Model S,Standard,2/1/15,4193177
31,Model S,Long Range,11/18/15,8640721
2,Model X,Standard,7/6/12,8251530
15,Model X,Long Range,12/11/13,8754200
155,Model 3,Standard,8/18/15,9443089
51,Model 3,Long Range,3/5/17,2454025
82,Model S,Standard,5/12/18,4641520
119,Model S,Long Range,10/11/17,196153
4,Model X,Standard,12/20/13,7204420
9,Model X,Long Range,2/9/15,9084840
40,Model 3,Standard,11/20/15,4683193
125,Model 3,Long Range,5/10/16,4421542
132,Model S,Standard,6/22/18,158876
85,Model S,Long Range,12/2/15,8190187
144,Model X,Standard,1/16/17,7807669
131,Model X,Long Range,5/10/14,5550241
108,Model 3,Standard,11/3/16,4771239
25,Model 3,Long Range,1/19/16,4794837
154,Model S,Standard,5/6/18,3420596
140,Model S,Long Range,7/18/15,9717598
48,Model X,Standard,5/31/18,1660090
2,Model X,Long Range,3/8/13,3312138
131,Model 3,Standard,1/8/18,7734444
38,Model 3,Long Range,5/19/16,9707298
95,Model S,Standard,6/12/17,7348116
43,Model S,Long Range,6/28/16,1588683
61,Model X,Standard,3/14/17,1394997
16,Model X,Long Range,10/1/17,6483333
119,Model 3,Standard,1/12/18,3660347
140,Model 3,Long Range,3/14/14,6638022
136,Model S,Standard,3/9/15,1788187
5,Model S,Long Range,11/23/15,1707046
95,Model X,Standard,1/2/17,5472590
22,Model X,Long Range,10/25/15,8834384
46,Model 3,Standard,1/24/17,3752868
