Model,Subtype,Country,Waittime (Weeks),Price ($)
Model S,Long Range,Belgium,4,119000
Model X,Standard,Belgium,4,113400
Model X,Long Range,Belgium,4,124600
Model 3,Standard,Belgium,4,56000
Model 3,Long Range,Belgium,4,70000
Model S,Standard,Croatia,5,123200
Model S,Long Range,Croatia,5,136000
Model X,Standard,Croatia,5,129600
Model X,Long Range,Croatia,5,142400
Model 3,Standard,Croatia,5,64000
Model 3,Long Range,Croatia,5,80000
Model S,Standard,Czech Republic,5,115500
Model S,Long Range,Czech Republic,5,127500
Model X,Standard,Czech Republic,5,121500
Model X,Long Range,Czech Republic,5,133500
Model 3,Standard,Czech Republic,5,60000
Model 3,Long Range,Czech Republic,5,75000
Model S,Standard,Denmark,4,123200
Model S,Long Range,Denmark,4,136000
Model X,Standard,Denmark,4,129600
Model X,Long Range,Denmark,4,142400
Model 3,Standard,Denmark,4,64000
Model 3,Long Range,Denmark,4,80000
Model S,Standard,Finland,4,107800
Model S,Long Range,Finland,4,119000
Model X,Standard,Finland,4,113400
Model X,Long Range,Finland,4,124600
Model 3,Standard,Finland,4,56000
Model 3,Long Range,Finland,4,70000
Model S,Standard,France,5,123200
Model S,Long Range,France,5,136000
Model X,Standard,France,5,129600
Model X,Long Range,France,5,142400
Model 3,Standard,France,5,64000
Model 3,Long Range,France,5,80000
Model S,Standard,Germany,6,115500
Model S,Long Range,Germany,6,127500
Model X,Standard,Germany,6,121500
Model X,Long Range,Germany,6,133500
Model 3,Standard,Germany,6,60000
Model 3,Long Range,Germany,6,75000
Model S,Standard,Hungary,5,123200
Model S,Long Range,Hungary,5,136000
Model X,Standard,Hungary,5,129600
Model X,Long Range,Hungary,5,142400
Model 3,Standard,Hungary,5,64000
Model 3,Long Range,Hungary,5,80000
Model S,Standard,Ireland,4,123200
Model S,Long Range,Ireland,4,136000
Model X,Standard,Ireland,4,129600
Model X,Long Range,Ireland,4,142400
Model 3,Standard,Ireland,4,64000
Model 3,Long Range,Ireland,4,80000
Model S,Standard,Italy,3,115500
Model S,Long Range,Italy,3,127500
Model X,Standard,Italy,3,121500
Model X,Long Range,Italy,3,133500
Model 3,Standard,Italy,3,60000
Model 3,Long Range,Italy,3,75000
Model S,Standard,Liechtenstein,3,123200
Model S,Long Range,Liechtenstein,3,136000
Model X,Standard,Liechtenstein,3,129600
Model X,Long Range,Liechtenstein,3,142400
Model 3,Standard,Liechtenstein,3,64000
Model 3,Long Range,Liechtenstein,3,80000
Model S,Standard,Luxembourg,4,115500
Model S,Long Range,Luxembourg,4,127500
Model X,Standard,Luxembourg,4,121500
Model X,Long Range,Luxembourg,4,133500
Model 3,Standard,Luxembourg,4,60000
Model 3,Long Range,Luxembourg,4,75000
Model S,Standard,The Netherlands,5,107800
Model S,Long Range,The Netherlands,5,119000
Model X,Standard,The Netherlands,5,113400
Model X,Long Range,The Netherlands,5,124600
Model 3,Standard,The Netherlands,5,56000
Model 3,Long Range,The Netherlands,5,70000
Model S,Standard,Norway,6,115500
Model S,Long Range,Norway,6,127500
Model X,Standard,Norway,6,121500
Model X,Long Range,Norway,6,133500
Model 3,Standard,Norway,6,60000
Model 3,Long Range,Norway,6,75000
Model S,Standard,Poland,5,123200
Model S,Long Range,Poland,5,136000
Model X,Standard,Poland,5,129600
Model X,Long Range,Poland,5,142400
Model 3,Standard,Poland,5,64000
Model 3,Long Range,Poland,5,80000
Model S,Standard,Portugal,6,100100
Model S,Long Range,Portugal,6,110500
Model X,Standard,Portugal,6,105300
Model X,Long Range,Portugal,6,115700
Model 3,Standard,Portugal,6,52000
Model 3,Long Range,Portugal,6,65000
Model S,Standard,Slovakia,3,107800
Model S,Long Range,Slovakia,3,119000
Model X,Standard,Slovakia,3,113400
Model X,Long Range,Slovakia,3,124600
Model 3,Standard,Slovakia,3,56000
Model 3,Long Range,Slovakia,3,70000
Model S,Standard,Slovenia,3,92400
Model S,Long Range,Slovenia,3,102000
Model X,Standard,Slovenia,3,97200
Model X,Long Range,Slovenia,3,106800
Model 3,Standard,Slovenia,3,48000
Model 3,Long Range,Slovenia,3,60000
Model S,Standard,Spain,4,138600
Model S,Long Range,Spain,4,153000
Model X,Standard,Spain,4,145800
Model X,Long Range,Spain,4,160200
Model 3,Standard,Spain,4,72000
Model 3,Long Range,Spain,4,90000
Model S,Standard,Sweden,4,138600
Model S,Long Range,Sweden,4,153000
Model X,Standard,Sweden,4,145800
Model X,Long Range,Sweden,4,160200
Model 3,Standard,Sweden,4,72000
Model 3,Long Range,Sweden,4,90000
Model S,Standard,Switzerland,3,130900
Model S,Long Range,Switzerland,3,144500
Model X,Standard,Switzerland,3,137700
Model X,Long Range,Switzerland,3,151300
Model 3,Standard,Switzerland,3,68000
Model 3,Long Range,Switzerland,3,85000
Model S,Standard,United Kingdom,6,115500
Model S,Long Range,United Kingdom,6,127500
Model X,Standard,United Kingdom,6,121500
Model X,Long Range,United Kingdom,6,133500
Model 3,Standard,United Kingdom,6,60000
Model 3,Long Range,United Kingdom,6,75000
Model S,Standard,Australia,7,92400
Model S,Long Range,Australia,7,102000
Model X,Standard,Australia,7,97200
Model X,Long Range,Australia,7,106800
Model 3,Standard,Australia,7,48000
Model 3,Long Range,Australia,7,60000
